"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1700019G17Rik",9.76276481499561e-05,0,0.00273972602739726,0,0,0,0.0363247863247863,0.0472972972972973,0.04,0.00995024875621891,0.0170940170940171
"1700019G24Rik",0,0,0,0,0,0,0.00498575498575499,0.00675675675675676,0.18,0,0
"1700019L03Rik",0.00048813824074978,0,0.00136986301369863,0,0,0,0,0,0.18,0,0
"1700020D05Rik",9.76276481499561e-05,0,0,0,0,0.00591715976331361,0.000712250712250712,0.00675675675675676,0,0,0
"1700020I14Rik",0.929903348628332,2.51685393258427,1.02602739726027,2.13274336283186,0.328125,0.189349112426035,0.173076923076923,0.148648648648649,0.32,0.597014925373134,0.264957264957265
"1700020L24Rik",0.000878648833349605,0,0.00821917808219178,0,0,0.0177514792899408,0.000712250712250712,0,0,0,0
"1700021F05Rik",0.0518402811676267,0.196629213483146,0.104109589041096,0.274336283185841,0.015625,0.0769230769230769,0.141737891737892,0.114864864864865,0.08,0.0597014925373134,0.153846153846154
"1700021J08Rik",9.76276481499561e-05,0,0,0,0,0,0.000712250712250712,0,0,0,0
"1700021K19Rik",0.0255784438152885,0.106741573033708,0.0452054794520548,0.123893805309735,0.03125,0.0591715976331361,0.0249287749287749,0.00675675675675676,0.04,0.0447761194029851,0.0341880341880342
"1700022I11Rik",0.00283120179634873,0.0337078651685393,0.00410958904109589,0.0176991150442478,0,0.00591715976331361,0.00997150997150997,0,0.04,0,0.00854700854700855
"1700023F06Rik",0.0714634384457678,0.00561797752808989,0.0287671232876712,0.0707964601769911,0.015625,0.0118343195266272,0.0249287749287749,0.0135135135135135,0,0.0149253731343284,0.0256410256410256
"1700024B18Rik",0.00165967001854925,0,0,0,0,0.00591715976331361,0,0,0.02,0,0
"1700024P16Rik",0.000292882944449868,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",0.292687689153568,0.0786516853932584,0.0205479452054795,0.610619469026549,0.09375,0.21301775147929,0.185897435897436,0.108108108108108,0.18,0.0199004975124378,0.0598290598290598
"1700026D08Rik",0.000292882944449868,0.0337078651685393,0.00273972602739726,0,0,0,0,0,0.94,0,0
"1700026J14Rik",0,0,0.00136986301369863,0,0,0,0.00213675213675214,0.00675675675675676,0.02,0,0
"1700027A07Rik",0.00117153177779947,0,0.00273972602739726,0,0,0,0,0,0,0,0
"1700028E10Rik",0.00312408474079859,0,0,0,0,0,0.00427350427350427,0.0135135135135135,0,0,0
"1700028J19Rik",0.000585765888899736,0.0112359550561798,0,0,0,0,0,0,0,0,0
"1700028K03Rik",0.000292882944449868,0,0,0.00884955752212389,0,0,0,0.00675675675675676,0,0,0
